Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Currency conversion fee,Currency (Currency conversion fee)
Deposit,2024-11-26 12:30:02,,,,"Transaction ID: 2ef6ea62-0a52-4191-81d5-14c28d4093e6",d6b42b57-19ed-4710-b52f-c8ed12ed5ff2,,,,,,,500.00,"GBP",,
Deposit,2024-11-26 16:45:48,,,,"Transaction ID: b5a33ad9-9efa-4d23-b836-684267fce939",f9871c35-236c-4539-9edf-cd2c5bca345e,,,,,,,500.00,"GBP",,
Market buy,2024-11-27 08:00:31.391,IE00B53SZB19,CNX1,"iShares NASDAQ 100 (Acc)",,EOF24105514459,0.1475252500,94899.00,GBX,100.00000000,,"GBP",140.00,"GBP",,
Market buy,2024-11-27 08:01:02.342,IE00BNG8L278,V3AB,"Vanguard ESG Global All Cap (Acc)",,EOF24105518002,76.4525800000,5.23,GBP,1.00000000,,"GBP",400.00,"GBP",,
Market buy,2024-11-27 08:05:23.748,IE00BK5BR733,VFEG,"Vanguard FTSE Emerging Markets (Acc)",,EOF24105521867,3.9983980000,50.02,GBP,1.00000000,,"GBP",200.00,"GBP",,
Market buy,2024-11-28 08:00:31.398,IE00BNG8L278,V3AB,"Vanguard ESG Global All Cap (Acc)",,EOF24155812572,49.9327600000,5.21,GBP,1.00000000,,"GBP",260.00,"GBP",,
Deposit,2024-12-13 14:29:32,,,,"Transaction ID: a13361d5-98f4-454c-85a9-ebab3c7aadfe",9ae696a7-63d2-4412-b00e-c1a8ca49dcb5,,,,,,,500.00,"GBP",,
Market buy,2024-12-16 10:37:54.589,IE00BK5BR733,VFEG,"Vanguard FTSE Emerging Markets (Acc)",,EOF25101361389,1.1794750000,50.87,GBP,1.00000000,,"GBP",60.00,"GBP",,
Market buy,2024-12-16 11:47:23.133,IE00BNG8L278,V3AB,"Vanguard ESG Global All Cap (Acc)",,EOF25101367887,57.0342000000,5.26,GBP,1.00000000,,"GBP",300.00,"GBP",,
Market buy,2024-12-17 10:05:03.994,IE00B53SZB19,CNX1,"iShares NASDAQ 100 (Acc)",,EOF25110136565,0.1407204700,99488.00,GBX,100.00000000,,"GBP",140.00,"GBP",,
Deposit,2024-12-19 10:17:35,,,,"Transaction ID: 14391372-cbca-44c0-b6e3-2a1dac2d6c44",a1098283-bfc0-4f63-8087-b454df219179,,,,,,,304.00,"GBP",,
Market buy,2024-12-19 10:20:45.021,IE00B53SZB19,CNX1,"iShares NASDAQ 100 (Acc)",,EOF25250435467,0.0519135200,96314.00,GBX,100.00000000,,"GBP",50.00,"GBP",,
Market buy,2024-12-19 10:31:12.613,IE00BK5BR733,VFEG,"Vanguard FTSE Emerging Markets (Acc)",,EOF25250436520,0.8003180000,49.98,GBP,1.00000000,,"GBP",40.00,"GBP",,
Market buy,2024-12-19 13:07:44.835,IE00B53SZB19,CNX1,"iShares NASDAQ 100 (Acc)",,EOF25252256029,0.0556924800,96961.00,GBX,100.00000000,,"GBP",54.00,"GBP",,
Market buy,2024-12-19 13:12:46.396,IE00BK5BR733,VFEG,"Vanguard FTSE Emerging Markets (Acc)",,EOF25252256757,3.1891540000,50.17,GBP,1.00000000,,"GBP",160.00,"GBP",,
Deposit,2025-01-22 09:59:24.849,,,,"Transaction ID: 271ad6cd-526d-44c6-ac10-3041802188e1",1150c0e4-fa06-4239-ae9f-4167bf0c3716,,,,,,,200.00,"GBP",,
Market buy,2025-01-22 13:00:52.789,US83404D1090,SFTBY,"SoftBank",,EOF26910047331,0.4349880000,34.04,USD,1.23597591,,"GBP",12.00,"GBP",0.02,"GBP"
Market buy,2025-01-22 14:30:00.901,US29444U7000,EQIX,"Equinix",,EOF26950658184,0.0128790000,956.46,USD,1.23429342,,"GBP",9.99,"GBP",0.01,"GBP"
Market buy,2025-01-22 14:30:00.901,US5738741041,MRVL,"Marvell Technology",,EOF26950658180,0.1182552000,125.00,USD,1.23388146,,"GBP",12.00,"GBP",0.02,"GBP"
Market buy,2025-01-22 14:30:01.413,US5951121038,MU,"Micron Technology",,EOF26950658396,0.1353653000,109.20,USD,1.23388069,,"GBP",12.00,"GBP",0.02,"GBP"
Market buy,2025-01-22 14:30:02.265,US0420682058,ARM,"ARM",,EOF26950660102,0.0536143000,160.83,USD,1.23358910,,"GBP",7.00,"GBP",0.01,"GBP"
Market buy,2025-01-22 14:30:02.265,US4581401001,INTC,"Intel",,EOF26950660098,0.3399720000,21.74,USD,1.23388836,,"GBP",6.00,"GBP",0.01,"GBP"
